POST,2° TURNO,DATA,LINK POSTAGEM,EXTRAÍDOS,N° COMENTÁRIOS,LINK COMENTÁRIOS,CONFIANÇA,FELICIDADE,EXPECTATIVA,SURPRESA,MEDO,TRISTEZA,RAIVA,REPULSA,POSITIVO,NEGATIVO,GRÁFICO,CATEGORIA,PARCERIA,OBSERVAÇÃO,TIPO
122,-,2023-08-19,https://www.instagram.com/p/CwJIfdqLz79/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
123,-,2023-08-19,https://www.instagram.com/reel/CwJNnA3JytF/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
124,-,2023-08-19,https://www.instagram.com/reel/CwJV6HAp2Ch/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
125,-,2023-08-19,https://www.instagram.com/reel/CwJj7YKJdqK/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
126,-,2023-08-20,https://www.instagram.com/p/CwK2QZzLQKT/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
127,-,2023-08-20,https://www.instagram.com/reel/CwK5H4NJNUy/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
128,-,2023-08-20,https://www.instagram.com/p/CwLUkgmx3lu/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
129,-,2023-08-20,https://www.instagram.com/p/CwLaPpNPRiG/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
130,-,2023-08-20,https://www.instagram.com/reel/CwLisKDprUM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131,-,2023-08-20,https://www.instagram.com/p/CwLn2gpvS8E/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
132,-,2023-08-20,https://www.instagram.com/reel/CwMDZHmJg6Z/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
133,-,2023-08-21,https://www.instagram.com/p/CwMN7ZcNucq/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
134,-,2023-08-21,https://www.instagram.com/reel/CwMQElqt-Qi/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
135,-,2023-08-21,https://www.instagram.com/reel/CwOAvJBupfg/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
136,-,2023-08-21,https://www.instagram.com/p/CwOHfdTRM8O/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
137,-,2023-08-21,https://www.instagram.com/reel/CwOgA20JltP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
138,-,2023-08-22,https://www.instagram.com/reel/CwRCxlFpRWf/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
139,-,2023-08-23,https://www.instagram.com/reel/CwTg7BRpcOK/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
140,-,2023-08-23,https://www.instagram.com/reel/CwT1aa3MoUv/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
141,-,2023-08-23,https://www.instagram.com/reel/CwT2kZ_pcKB/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
142,-,2023-08-24,https://www.instagram.com/reel/CwV1u3upb-y/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
143,-,2023-08-26,https://www.instagram.com/p/CwaeuMSrcXa/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
144,-,2023-08-26,https://www.instagram.com/reel/CwafFQHprkI/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
145,-,2023-08-26,https://www.instagram.com/reel/CwbnkTpJjX1/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
146,-,2023-08-30,https://www.instagram.com/reel/Cwk3vunp8xh/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
147,-,2023-08-30,https://www.instagram.com/reel/Cwk4f9IJNUt/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,-,2023-08-30,https://www.instagram.com/reel/CwlJvM_vB84/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
149,-,2023-08-30,https://www.instagram.com/p/CwlQzd0vesj/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150,-,2023-08-31,https://www.instagram.com/reel/CwnVR7mLnxN/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
151,-,2023-08-31,https://www.instagram.com/p/CwnywEOPnRR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
152,-,2023-09-01,https://www.instagram.com/reel/CwofiUAL8ae/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
153,-,2023-09-01,https://www.instagram.com/reel/Cwp6G-vLRyo/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
154,-,2023-09-01,https://www.instagram.com/reel/Cwp-b7JLOCG/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
155,-,2023-09-01,https://www.instagram.com/reel/CwqtQVCLFI9/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
156,-,2023-09-01,https://www.instagram.com/reel/Cwq6J_rLHtW/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
157,-,2023-09-02,https://www.instagram.com/reel/Cws1ImSvTfQ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
158,-,2023-09-02,https://www.instagram.com/reel/CwtCarCuwbm/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
159,-,2023-09-02,https://www.instagram.com/p/Cwtnp-ErS19/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
160,-,2023-09-05,https://www.instagram.com/reel/Cwy3thHNvW2/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
161,-,2023-09-05,https://www.instagram.com/reel/Cw0zbjFvSi9/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
162,-,2023-09-06,https://www.instagram.com/reel/Cw1dJAPtufY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
163,-,2023-09-06,https://www.instagram.com/reel/Cw3mf66Lx1a/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
164,-,2023-09-06,https://www.instagram.com/reel/Cw31kKNLCdg/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
165,-,2023-09-07,https://www.instagram.com/reel/Cw5rzTSroro/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
166,-,2023-09-08,https://www.instagram.com/reel/Cw7pD2GLcpf/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
167,-,2023-09-08,https://www.instagram.com/reel/Cw74WN-LNok/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
168,-,2023-09-08,https://www.instagram.com/reel/Cw88cc6rHZb/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
169,-,2023-09-08,https://www.instagram.com/p/Cw9By40LRtY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
170,-,2023-09-09,https://www.instagram.com/reel/Cw-ezxvrzfI/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
171,-,2023-09-09,https://www.instagram.com/reel/Cw-7dw9PaG_/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
172,-,2023-09-09,https://www.instagram.com/p/Cw_kUBlLSE2/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
173,-,2023-09-09,https://www.instagram.com/reel/Cw_iVCprsFo/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
174,-,2023-09-10,https://www.instagram.com/reel/CxA-hllrYa9/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
175,-,2023-09-10,https://www.instagram.com/reel/CxBbAzwv4jM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
176,-,2023-09-11,https://www.instagram.com/reel/CxDvnULLqa-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
177,-,2023-09-11,https://www.instagram.com/reel/CxEBTubvUTh/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
178,-,2023-09-11,https://www.instagram.com/reel/CxEagOIrtIb/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
179,-,2023-09-11,https://www.instagram.com/reel/CxEwOduryn4/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
180,-,2023-09-12,https://www.instagram.com/reel/CxGDVOrLzb9/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
181,-,2023-09-13,https://www.instagram.com/reel/CxIuJnWLT1E/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
182,-,2023-09-13,https://www.instagram.com/reel/CxJJP9WPet_/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
183,-,2023-09-13,https://www.instagram.com/reel/CxJiVUlLhgn/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
184,-,2023-09-14,https://www.instagram.com/reel/CxKBvKANJwX/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
185,-,2023-09-14,https://www.instagram.com/reel/CxKGMzSNE_2/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
186,-,2023-09-14,https://www.instagram.com/reel/CxLNzx0rmhf/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
187,-,2023-09-14,https://www.instagram.com/reel/CxLj8gTry0Q/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
188,-,2023-09-14,https://www.instagram.com/reel/CxLt2_avx6G/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
189,-,2023-09-14,https://www.instagram.com/reel/CxL6V3tPVJH/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
190,-,2023-09-14,https://www.instagram.com/reel/CxMDpvOrysV/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
191,-,2023-09-14,https://www.instagram.com/p/CxMUBamrmnv/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
192,-,2023-09-15,https://www.instagram.com/reel/CxN7zhCrbwN/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
193,-,2023-09-15,https://www.instagram.com/reel/CxONakJL4Zy/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
194,-,2023-09-15,https://www.instagram.com/reel/CxOQ1E_L6dh/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
195,-,2023-09-15,https://www.instagram.com/reel/CxOgz6pPdhS/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
196,-,2023-09-15,https://www.instagram.com/reel/CxO1h_7rXx1/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
197,-,2023-09-16,https://www.instagram.com/reel/CxROCaNx8eK/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
198,-,2023-09-18,https://www.instagram.com/p/CxVp1ZzLVfV/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
199,-,2023-09-18,https://www.instagram.com/reel/CxWIbygPqO4/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200,-,2023-09-18,https://www.instagram.com/reel/CxWQJXTvX8t/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
201,-,2023-09-18,https://www.instagram.com/reel/CxWcSgUrIwG/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
202,-,2023-09-19,https://www.instagram.com/reel/CxYfVKKLLtf/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
203,-,2023-09-19,https://www.instagram.com/reel/CxY63yoLbrA/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
204,-,2023-09-19,https://www.instagram.com/p/CxZL9DpLos8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
205,-,2023-09-19,https://www.instagram.com/p/CxZaqOGLGIo/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
206,-,2023-09-20,https://www.instagram.com/reel/CxalKEALjks/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
207,-,2023-09-20,https://www.instagram.com/p/Cxa-YaCLTbv/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
208,-,2023-09-20,https://www.instagram.com/reel/CxbHWgLrGV6/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
209,-,2023-09-20,https://www.instagram.com/reel/CxbaWVfPHiE/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
210,-,2023-09-20,https://www.instagram.com/reel/CxbqHdjNZH2/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
211,-,2023-09-21,https://www.instagram.com/reel/CxdXntALJnB/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
212,-,2023-09-21,https://www.instagram.com/reel/CxeERiELrd_/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
213,-,2023-09-22,https://www.instagram.com/p/Cxf5M_dLfNX/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
214,-,2023-09-22,https://www.instagram.com/reel/CxgdJa4Pt2j/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
215,-,2023-09-23,https://www.instagram.com/p/CxjAVbZslA4/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
216,-,2023-09-23,https://www.instagram.com/p/CxjKuyAoSV0/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
217,-,2023-09-23,https://www.instagram.com/reel/CxjYVISrio1/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
218,1,2023-09-24,https://www.instagram.com/p/CxlQna1oBYJ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,75,84,,"25,5","11,4","10,4","5,4","12,4","10,9","15,3","8,9","52,7","47,5",-,Autoridade ,-,Luisa entre os jovens,Fotos
219,2,2023-09-24,https://www.instagram.com/reel/Cxl51_av4mz/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,356,436,,"25,4","15,6","11,1","5,6","12,6","11,1","11,1","7,5","57,7","42,3",-,Humanização,-,Luisa cozinhando prato típico,Vídeo institucional
220,3,2023-09-25,https://www.instagram.com/reel/CxmVrNxNjoH/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,382,509,,"28,9","13,7","11,7","6,4","11,3","10,6",11,"6,3","60,7","39,2",-,Autoridade ,-,Promessas para os eleitores,Vídeo institucional
221,4,2023-09-25,https://www.instagram.com/reel/Cxnn-neLVRd/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,50,76,,"35,1","13,6","13,6","5,2","7,8","7,1",11,"6,5","67,5","32,4",-,Autoridade,-,Ouvindo os eleitores,Vídeo institucional
222,5,2023-09-25,https://www.instagram.com/reel/CxoDEUPPBzY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,72,92,,"26,6","13,3","13,9","5,8",11,"9,8",11,"8,7","59,6","40,5",-,Humanização,-,Apoio de eleitores historicamente excluídos (diversidade),Vídeo institucional
223,6,2023-09-25,https://www.instagram.com/reel/CxoNS4jPwSF/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,1631,2226,,"30,6","15,3",14,"6,3","11,3","9,9","7,7","4,9","66,2","33,8",-,Autenticidade,-,Capacidade para identificar o que necessita ser feito,Vídeo institucional
224,7,2023-09-25,https://www.instagram.com/reel/CxoUh_RrdfH/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,323,430,,"29,3","15,3","12,4","6,4","12,7","9,2","9,9","4,9","63,4","36,7",-,Humanização,-,Diversidade e elementos típicos,Vídeo institucional
225,8,2023-09-25,https://www.instagram.com/reel/CxoedngLkqM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,115,149,,36,"16,4","13,4","6,5","7,9","8,6","6,2","5,1","72,3","27,8",-,Autoridade,-,Luisa com eleitores,Vídeo institucional
226,9,2023-09-25,https://www.instagram.com/reel/CxosKb9L9dJ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,219,271,,"33,1","13,6","13,4","6,1","12,2","8,8","9,1","3,6","66,2","33,7",-,Autoridade,-,Apoio dos eleitores,Vídeo institucional
227,10,2023-09-26,https://www.instagram.com/reel/CxqXd3Jr1Rs/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,247,346,,"25,9","13,8","13,3","6,1","11,9","11,9","9,9","7,2","59,1","40,9",-,Autoridade,-,Luisa responde perguntas,Vídeo institucional
228,11,2023-09-26,https://www.instagram.com/reel/CxqvLnPvFBW/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,236,283,,"29,9","16,4","12,7","4,9","14,2","8,8","8,8","4,5","63,9","36,3",-,Autoridade ,-,Luisa conversa com eleitores,Vídeo institucional
229,12,2023-09-26,https://www.instagram.com/reel/CxrIJkor6DB/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,2211,2868,,"25,4","11,8","11,2","5,5","12,5","12,6","12,8","8,2","53,9","46,1",-,Autoridade,-,Já fomos o 2 país mais seguro da região,Vídeo institucional
230,13,2023-09-26,https://www.instagram.com/reel/CxrRKqvrGLp/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,818,927,,"30,6","16,6","14,2","7,2","9,3","9,7","7,4",5,"68,6","31,4",-,Humanização,-,Remete a autenticidade quando fala de sua profissão narra rapidamente parte de sua história,Vídeo
231,14,2023-09-27,https://www.instagram.com/p/CxsyKMHrNUv/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,133,147,,"35,3","19,9",15,"6,1","10,7","4,6","4,6","3,8","76,3","23,7",-,Autenticidade ,@claudia_shein,Ex-chefa de gover no do Méximo,Fotos
232,15,2023-09-27,https://www.instagram.com/p/CxtGhc6LBKI/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,74,90,,"33,6","18,1","15,5",6,"10,3","8,6","4,7",3,"73,2","26,6",-,Autoridade ,-,Pautas sobre educação,Fotos
233,16,2023-09-27,https://www.instagram.com/p/CxtMjADvVtI/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,68,81,,"29,4","15,1",14,"6,5","12,2","10,4","7,9","4,7",65,"35,2",-,Autoridade ,-,Promessas de campanha,Imagens
