POST,2° TURNO,DATA,LINK POSTAGEM,EXTRAÍDOS,N° COMENTÁRIOS,LINK COMENTÁRIOS,CONFIANÇA,FELICIDADE,EXPECTATIVA,SURPRESA,MEDO,TRISTEZA,RAIVA,REPULSA,POSITIVO,NEGATIVO,GRÁFICO,CATEGORIA,PARCERIA,OBSERVAÇÃO,TIPO
308,91,2023-10-08,https://www.instagram.com/reel/CyJTan2rzcG/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,608,801,,"21,8","12,3","11,9","5,3","11,8","14,6","13,5","8,7","51,3","48,6",-,Autoridade,-,Promessa ao setor de transportes,Vídeo institucional
309,92,2023-10-08,https://www.instagram.com/p/CyJth7GPfej/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,113,138,,"36,1","18,2","15,3","4,7",8,"8,8","6,2","2,6","74,3","25,6",-,Autenticidade,-,Apoio dos eleitores,Fotos
310,93,2023-10-08,https://www.instagram.com/reel/CyJ1dAJLk_T/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,5186,6215,,"23,1","14,8","12,1","5,1","13,9","12,8","10,7","7,5","55,1","44,9",-,Humanização,-,Meme sugreindo que a candidata ganhou a eleição,Vídeo
311,94,2023-10-08,https://www.instagram.com/reel/CyKDzHYrlev/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,69,89,,"50,5","15,2","12,4","7,6","3,8","4,8","3,8","1,9","85,7","14,3",HIST,Humanização,-,História para humanizar,Vídeo
312,95,2023-10-08,https://www.instagram.com/reel/CyKKe_rL6HN/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,49,77,,"31,5","10,8","14,4","6,3",9,"7,2","13,5","7,2",63,"36,9",-,Autoridade,-,Conversa com jovens,Vídeo institucional
313,96,2023-10-09,https://www.instagram.com/reel/CyLqqOiL0BI/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,65,81,,"41,2","18,1",13,"6,2","7,3","6,8","4,5","2,8","78,5","21,4",-,Autenticidade,-,Apoio dos eleitores,Vídeo institucional
314,97,2023-10-09,https://www.instagram.com/reel/CyL4ZheLqyZ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,36,60,,33,"21,6","12,4","6,2","7,2","11,3","5,2","3,1","73,2","26,8",-,Autenticidade,-,Reunião com reitores de universidades,Vídeo institucional
315,98,2023-10-09,https://www.instagram.com/reel/CyMF-CcPJwX/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,59,88,,"37,2","17,4","15,7","5,8","13,2","7,4","2,5","0,8","76,1","23,9",-,Autenticidade,-,Apoio dos eleitores,Vídeo institucional
316,99,2023-10-09,https://www.instagram.com/reel/CyMUHFNvaaa/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,926,1182,,"24,6","11,9","14,5","5,5","13,1","15,3","8,9","6,2","56,5","43,5",-,Autoridade,-,Promessas para os jovens,Vídeo institucional
317,100,2023-10-09,https://www.instagram.com/p/CyMoaQBr3Wx/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,74,100,,"34,7","16,3","14,3","9,5","9,5","4,8","6,8","4,1","74,8","25,2",-,Autenticidade,-,Pauta afro-descendente ,Fotos
318,101,2023-10-10,https://www.instagram.com/p/CyNCR6WNtud/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,176,207,,"40,8","20,1","12,9","4,8","6,1","6,5","4,8","4,1","78,6","21,5",-,Autenticidade,Vice,Profundo compromisso,Fotos
319,102,2023-10-10,https://www.instagram.com/reel/CyOGrwnL3qQ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,275,316,,"29,7",14,"12,9","5,7","13,3","9,6","9,6","5,2","62,3","37,7",-,Autenticidade,-,não podemos deixar que o odio e medo vençam,Vídeo
320,103,2023-10-10,https://www.instagram.com/reel/CyOSx32L3Lf/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,124,169,,"24,1","11,9","11,6","3,8","19,1","11,6",9,9,"51,4","48,7",-,Autoridade,-,promessas para a saúde mental,Vídeo institucional
321,104,2023-10-10,https://www.instagram.com/p/CyOcr68rZhI/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,135,170,,"33,9","18,5","12,5","5,9","9,6","9,6","5,9","4,1","70,8","29,2",-,Autenticidade,Vice,Temos uma grande equipe,Fotos
322,105,2023-10-10,https://www.instagram.com/reel/CyOrck5vT7f/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,52,72,,"46,5","17,8","14,9",3,"6,9","5,9",1,4,"82,2","17,8",-,Autenticidade,-,Diversidade,Vídeo
323,106,2023-10-10,https://www.instagram.com/reel/CyOyVW2vicK/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,60,80,,"40,2","19,5","14,9","4,6","9,2","5,7","3,4","2,3","79,2","20,6",-,Autenticidade,-,Experiência e melhor equipe,Vídeo
324,107,2023-10-10,https://www.instagram.com/reel/CyO0zAmv11v/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,1305,1567,,"24,9","14,2","11,1","5,8","12,5","13,7","9,7","8,2",56,"44,1",-,Humanização,-,Seus cachorros,Vídeo
325,108,2023-10-10,https://www.instagram.com/reel/CyO4lflv9QY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,62,74,,"32,5","17,5","17,5","9,7","9,7","5,8","4,5","2,6","77,2","22,6",-,Autenticidade,-,Humanização/diversidade para gerar confiança,Vídeo institucional
326,109,2023-10-10,https://www.instagram.com/reel/CyPC2OSrtty/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,177,202,,"29,7",14,"12,9","5,7","13,3","9,6","9,6","5,2","62,3","37,7",-,Autenticidade,-,Humanização/diversidade para gerar confiança,Vídeo institucional
327,110,2023-10-10,https://www.instagram.com/p/CyPKNFqLasA/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,37,66,,"35,4","19,7","16,3","6,8","5,4","7,5","5,4","3,4","78,2","21,7",-,Autenticidade,-,Tempos de união,Imagem
328,111,2023-10-10,https://www.instagram.com/reel/CyPS5eGr5iE/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,387,449,,"31,6","18,5","15,5","6,3","8,8","9,2","5,8","4,2","71,9",28,-,Humanização,-,Leitura de uma carta recebida por mâes,Vídeo
329,112,2023-10-10,https://www.instagram.com/reel/CyPVxd9Ljz7/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,928,1278,,"27,8","13,9","13,1","5,2",12,"11,3","10,7",6,60,40,-,Humanização,-,História para gerar autenticidade,Vídeo institucional
330,113,2023-10-11,https://www.instagram.com/reel/CyQtsJ9LU8A/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,140,182,,"35,2",16,"12,7","3,6","11,7","7,5","8,1","5,1","67,5","32,4",-,Autenticidade,-,Equipe experiente para governar,Vídeo institucional
331,114,2023-10-11,https://www.instagram.com/reel/CyQ1LvqrsED/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,41,64,,"37,4","17,4","16,5","3,5","8,7","4,3",7,"5,2","74,8","25,2",-,Autenticidade,-,Reunião,Vídeo institucional
332,115,2023-10-11,https://www.instagram.com/reel/CyRZ6nRPq55/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,820,1096,,34,"15,4","14,8","5,2","10,9","8,7","6,5","4,4","69,4","30,5",-,Autenticidade,-,Feminismo,Vídeo institucional
333,116,2023-10-11,https://www.instagram.com/reel/CyRfKzRvzR3/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,59,76,,38,"20,2","12,4","3,9","9,3","7,8","4,7","3,9","74,5","25,7",HIST,Autenticidade,-,História para humanizar e gerar confiança,Vídeo institucional
334,117,2023-10-11,https://www.instagram.com/reel/CyRj918rXUm/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,73,87,,"38,9","19,8","19,2",9,"6,6","3,6","2,4","0,6","86,9","13,2",-,Autenticidade,-,"Apoio do povo, divesridade e elementos etnicos ",Vídeo institucional
335,118,2023-10-11,https://www.instagram.com/reel/CyRrFyYLGWE/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,42,58,,"38,5",20,"13,8","7,7","13,8","3,1","1,5","1,5",80,"19,9",-,Autenticidade,-,"Apoio do povo, divesridade e elementos etnicos ",Vídeo institucional
336,119,2023-10-11,https://www.instagram.com/reel/CyRx0lurHux/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,24,41,,"30,4","12,5","14,3","5,4","14,3","7,1","12,5","3,6","62,6","37,5",-,Autenticidade,-,"Apoio do povo, divesridade e elementos etnicos ",Vídeo institucional
337,120,2023-10-11,https://www.instagram.com/tv/CyR5bPbidYY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,124,139,,"31,5","19,1","17,5",7,"10,5","6,7","5,1","2,7","75,1",25,-,Autenticidade,-,Expressa confiança,Vídeo institucional
338,121,2023-10-11,https://www.instagram.com/p/CyR_37xLM3h/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,40,56,,"35,7","20,5","16,1","0,9","11,6","3,6","7,1","4,5","73,2","26,8",-,Autenticidade,-,É tempo de mulheres,Imagem
339,122,2023-10-12,https://www.instagram.com/p/CySKfNvtpcE/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,72,99,,"41,1","17,8","15,5","5,4",7,"6,2","5,4","1,6","79,8","20,2",-,Autenticidade,-,Confiança e apoio dos eleitores,Fotos
340,123,2023-10-12,https://www.instagram.com/reel/CyTOMkdrGVo/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,28,48,,"41,5","24,6","15,4",0,"15,4","1,5","1,5",0,"81,5","18,4",-,Autenticidade,-,Nos une a diversidade,Vídeo institucional
341,124,2023-10-12,https://www.instagram.com/reel/CyTcNqMOZ3f/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,372,441,,"27,8","15,3",16,"4,8","13,6","10,5","7,8","4,2","63,9","36,1",-,Humanização,-,Pesames por Jonathan Sanchez,Vídeo
342,125,2023-10-12,https://www.instagram.com/reel/CyTc5YArkrK/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,168,260,,"30,5","14,1","14,1","5,6","11,3","9,5",9,"5,9","64,3","35,7",-,Autenticidade,-,Mulheres,Vídeo institucional
343,126,2023-10-12,https://www.instagram.com/reel/CyTjEHKrtev/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,140,205,,"28,4","13,5","12,5","5,5","9,2","12,5","9,6","8,7","59,9",40,-,Autenticidade,-,Diversidade-Minorias,Vídeo institucional
344,127,2023-10-12,https://www.instagram.com/reel/CyTp-vArjdp/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,212,321,,"25,3","9,6","9,4","4,4","14,5","14,9","13,9",8,"48,7","51,3",-,Autenticidade,-,Diversidade-Minorias,Vídeo institucional
345,128,2023-10-12,https://www.instagram.com/reel/CyTtWbQrCo8/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,23,38,,"43,4","18,9",17,"9,4","3,8","1,9","3,8","1,9","88,7","11,4",-,Autenticidade,-,Diversidade-Minorias,Vídeo institucional
346,129,2023-10-12,https://www.instagram.com/reel/CyT2bo1vKnu/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,84,107,,"34,4","17,2","18,6","3,3","12,1","7,9","4,2","2,3","73,5","26,5",-,Autenticidade,-,Apoio dos eleitores,Vídeo
348,131,2023-10-12,https://www.instagram.com/p/CyT-tTTv7be/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,101,118,,"40,5","16,9","20,3","6,8","6,8","4,7","2,7","1,4","84,5","15,6",-,Autenticidade,-,Apoio dos eleitores,Fotos
349,132,2023-10-12,https://www.instagram.com/p/CyUC5avPuzz/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,53,79,,"35,7","22,5","16,3","8,5","10,9","5,4","0,8",0,83,"17,1",-,Autenticidade,-,Apoio dos eleitores,Fotos
350,133,2023-10-12,https://www.instagram.com/reel/CyUIxvirEgc/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,131,156,,"37,4","20,2","14,4","5,8","11,9","3,3","4,1","2,9","77,8","22,2",-,Autenticidade,-,Apoio dos eleitores,Vídeo
351,134,2023-10-12,https://www.instagram.com/reel/CyUNv0kLl0O/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,268,311,,"32,9","21,3","15,7","7,5","6,4","6,9","4,6","4,6","77,4","22,5",-,Humanização,-,Palpite sobre o jogo Equador e Bolivia,Vídeo
352,135,2023-10-12,https://www.instagram.com/p/CyUklKYLRwt/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,66,89,,48,"17,3","15,3","4,1","5,1","3,1","5,1",2,"84,7","15,3",-,Autenticidade,-,Um governo para todos,Imagem
353,136,2023-10-13,https://www.instagram.com/reel/CyU1ubGu3fh/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,155,176,,"28,1","15,8","16,2","5,8",13,8,"8,8","4,2","65,9",34,-,Autenticidade,-,Expressa confiança,Vídeo institucional
354,137,2023-10-13,https://www.instagram.com/reel/CyVzC12rFTW/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,64,82,,"31,4","20,6","15,4",4,"11,4","7,4","5,7",4,"71,4","28,5",HIST,Autenticidade,-,História como forma de autenticidade e humanização,Vídeo institucional
355,138,2023-10-13,https://www.instagram.com/reel/CyV-REsLWKP/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,254,272,,"38,2","21,5","18,5","5,1","8,8","3,7","2,9","1,3","83,3","16,7",-,Autenticidade,-,Apoio dos eleitores,Vídeo
356,139,2023-10-13,https://www.instagram.com/reel/CyWH_ZcrYQa/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,45,55,,"28,9","13,2","13,2","6,3","13,2","12,6","6,3","6,3","61,6","38,4",-,Autoridade,-,Educação deve ser pública,Vídeo institucional
357,140,2023-10-13,https://www.instagram.com/reel/CyWO_LVrLON/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,52,83,,"37,2","17,4","15,1",7,"8,1","5,8",7,"2,3","76,7","23,2",-,Autenticidade,-,Apoio dos eleitores,Vídeo 
358,141,2023-10-13,https://www.instagram.com/reel/CyWZTw9vXrA/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,50,60,,"42,6","22,1","17,6","7,4","4,4","4,4","1,5",0,"89,7","10,3",-,Autenticidade,-,Diversidade-Minorias,Vídeo
359,142,2023-10-13,https://www.instagram.com/reel/CyWgHJkvYkk/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,53,71,,"32,9","22,4","16,5","8,2","8,2","3,5","3,5","4,7",80,"19,9",-,Autenticidade,-,Apoio dos eleitores,Vídeo
360,143,2023-10-13,https://www.instagram.com/reel/CyWjsJ0P5mN/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,326,366,,"32,8","17,8","12,7","5,5","9,5","11,8","4,8","5,1","68,8","31,2",-,Humanização,-,Comprando um sacolé do ambulante,Vídeo
361,144,2023-10-13,https://www.instagram.com/reel/CyWm_JFvCmA/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,94,150,,"28,5","16,3","14,9","8,1",9,"10,9","6,3","5,9","67,8","32,1",-,Autoridade,-,Arte e musica,Vídeo institucional
362,145,2023-10-13,https://www.instagram.com/reel/CyWtq6Ar091/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,125,156,,"29,7",18,"17,7","7,6","12,3","5,7","5,1","3,8",73,"26,9",-,Autoridade,-,mais obras mais futuros,Vídeo institucional
363,146,2023-10-13,https://www.instagram.com/reel/CyW0bmcLRhr/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,213,311,,"26,3",17,14,"7,4","10,1","8,1","10,3","6,9","64,7","35,4",-,Autoridade,-,Segurança,Vídeo institucional
364,147,2023-10-13,https://www.instagram.com/reel/CyW7itQr3DJ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,161,194,,"31,9",17,"15,4","4,3","12,7","5,6","11,6","1,5","68,6","31,4",-,Autenticidade,-,Vamos trabalhar,Vídeo
365,148,2023-10-13,https://www.instagram.com/p/CyXCbcDr2KX/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,29,41,,"23,6","11,1",16,"6,2","11,8","13,9","11,8","5,6","56,9","43,1",-,Autenticidade,-,Um país de paz,Imagem
366,149,2023-10-13,https://www.instagram.com/reel/CyXEp3-rVCA/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,522,831,,"27,6","12,9","12,2","4,9","14,8",10,"10,4","7,1","57,6","42,3",-,Autenticidade,-,Expressa confiança,Vídeo institucional
367,150,2023-10-14,https://www.instagram.com/reel/CyYYCTqrUin/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,47,67,,42,"17,3","14,8","3,7","8,6","7,4","3,7","2,5","77,8","22,2",-,Humanização,-,pratos tipicos no café da manhã,Vídeo
368,151,2023-10-14,https://www.instagram.com/reel/CyYiPNDrhS5/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,207,243,,36,"20,7","20,1","6,1","9,2","3,2","3,5","1,3","82,9","17,2",-,Autenticidade,-,Apoio político e promessas de esporte,Vídeo institucional
369,152,2023-10-14,https://www.instagram.com/reel/CyYwA92LF57/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,35,47,,35,"17,5","13,6","1,9","8,7","12,6","8,7","1,9",68,"31,9",-,Autenticidade,-,Apoio dos eleitores,Vídeo
370,153,2023-10-14,https://www.instagram.com/reel/CyY7pR4pPGx/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,656,873,,"32,4","20,4","15,5","5,3","10,3","7,1",5,4,"73,6","26,4",-,Humanização,-,Trend,Vídeo
371,154,2023-10-14,https://www.instagram.com/reel/CyY9WYbuA8u/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,87,107,,"49,2","16,9","12,3","6,2","7,7","3,1","4,6",0,"84,6","15,4",-,Autenticidade,-,Apoio dos eleitores,Vídeo
372,155,2023-10-14,https://www.instagram.com/reel/CyZEcPKvk2-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,62,87,,"28,6","16,7","16,7","5,6","13,5","8,7","6,3",4,"67,6","32,5",HIST,Autenticidade,-,História para humanizar e dar confiança,Vídeo institucional
373,156,2023-10-14,https://www.instagram.com/reel/CyZJrouO8RF/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,75,77,,43,"11,6","10,5","2,3","15,1","10,5","3,5","3,5","67,4","32,6",-,Autenticidade,@leoorlandoa @revolucionciudadana5oficial @rc_5manabi ,Equipe preparada,Vídeo
374,157,2023-10-14,https://www.instagram.com/p/CyZLtgDvVP6/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,140,182,,"42,9","15,5","17,2",6,"8,2","5,2","2,1",3,"81,6","18,5",-,Autenticidade,-,Equador vencerá (confiança),Imagem
375,158,2023-10-14,https://www.instagram.com/reel/CyZZdPwLsuT/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,59,71,,"34,5","15,9","16,8","6,2","12,4","7,1","3,5","3,5","73,4","26,5",-,Autoridade,-,Construir um país de paz,Vídeo institucional
376,159,2023-10-14,https://www.instagram.com/p/CyZawbyOdaX/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,103,104,,"34,9","15,4","14,8","8,3","11,2","4,7","6,5","4,1","73,4","26,5",-,Autenticidade,@leoorlandoa,Apoio político equipe com experiência,Fotos
377,160,2023-10-14,https://www.instagram.com/reel/CyZp0btOGJU/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,215,254,,"27,5","17,7","14,2","5,1","10,1","11,1","7,9","6,3","64,5","35,4",-,Humanização,-,"Luisa jogando futebol, ganhar a partida",Vídeo
378,161,2023-10-14,https://www.instagram.com/reel/CyZvQcxrH9d/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,491,539,,36,"22,7","18,7","8,7","5,7","4,2","2,6","1,5","86,1",14,-,Autenticidade,-,Live da campanha,Vídeo
379,162,2023-10-15,https://www.instagram.com/reel/CyawrvDOwbk/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,322,379,,"31,8","19,4",16,"6,6","10,5","7,3","5,2","3,2","73,8","26,2",HIST,Humanização,-,História para humanizar,Vídeo
380,163,2023-10-15,https://www.instagram.com/p/Cyay5_NpROI/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,84,118,,"31,5","17,5","18,9","4,9","10,5","5,6","8,4","2,8","72,8","27,3",-,Autenticidade,-,Apoio dos eleitores,Imagem
381,164,2023-10-15,https://www.instagram.com/reel/Cya-_EvrTJF/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,517,602,,"34,3","19,5","17,4","5,9","8,7",6,"5,3","2,9","77,1","22,9",-,Autenticidade,-,Luisa votando (votar com memória),Vídeo
382,165,2023-10-15,https://www.instagram.com/p/CybTLMFRkSm/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,121,150,,"32,4","20,4","18,1","5,5","9,7","3,6","6,5","3,9","76,4","23,7",-,Autenticidade,-,Apoio dos eleitores e equipe,Foto
383,166,2023-10-15,https://www.instagram.com/p/CybW8a-R_US/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,93,111,,"28,1",14,"18,9","5,3","13,2","8,8","7,5","4,4","66,3","33,9",-,Autenticidade,-,Dia da mulher rural,Imagem
384,167,2023-10-15,https://www.instagram.com/reel/Cybbk9YRU7g/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,88,119,,"32,8","15,5","12,9","7,8","7,8","7,8","9,5",6,69,"31,1",-,Autenticidade,-,Luisa votando,Vídeo
385,168,2023-10-15,https://www.instagram.com/reel/CybpMw7xzhv/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== ,507,642,,"18,9","10,8","12,1","5,6","15,8","15,5","12,5","8,9","47,4","52,7",-,Autenticidade,-,Vice votando,Vídeo